GeneSymbol,GeneID,DiseaseName,DiseaseID
ABCA1,19,Tangier Disease,MESH:D013631
ABCA10,10349,Colorectal Neoplasms,MESH:D015179
ABCA12,26154,Colorectal Neoplasms,MESH:D015179
ABCA12,26154,Harlequin type ichthyosis,MESH:C538424
ABCA12,26154,"Ichthyosis, Lamellar",MESH:D017490
ABCA12,26154,"Lamellar ichthyosis, type 2",MESH:C537264
ABCA12,26154,Recurrence,MESH:D012008
ABCA12,26154,Thyroid Neoplasms,MESH:D013964
ABCA13,154664,Colorectal Neoplasms,MESH:D015179
ABCA13,154664,Disease Progression,MESH:D018450
ABCA2,20,Autism Spectrum Disorder,MESH:D000067877
ABCA3,21,Colorectal Neoplasms,MESH:D015179
ABCA3,21,Emphysema,MESH:D004646
ABCA3,21,"Hypertension, Pulmonary",MESH:D006976
ABCA3,21,Pulmonary Fibrosis,MESH:D011658
ABCA3,21,"Surfactant Metabolism Dysfunction, Pulmonary, 3",MESH:C567046
ABCA4,24,Cleft Lip,MESH:D002971
ABCA4,24,Colorectal Neoplasms,MESH:D015179
ABCA4,24,Cone-Rod Dystrophy 3,MESH:C565827
ABCA4,24,Familial Exudative Vitreoretinopathies,MESH:D000080345
ABCA4,24,Macular Degeneration,MESH:D008268
ABCA4,24,"Macular Degeneration, Age-Related, 2",MESH:C562479
ABCA4,24,Retinitis Pigmentosa,MESH:D012174
ABCA4,24,Retinitis pigmentosa 1,MESH:C538365
ABCA4,24,Retinitis Pigmentosa 19,MESH:C566637
ABCA4,24,Stargardt Disease,MESH:D000080362
ABCA5,23461,Colorectal Neoplasms,MESH:D015179
ABCA5,23461,"Hypertrichosis Terminalis, Generalized, with or without Gingival Hyperplasia",MESH:C565016
ABCA6,23460,Colorectal Neoplasms,MESH:D015179
ABCA6,23460,"Dermatitis, Allergic Contact",MESH:D017449
ABCA7,10347,Alzheimer Disease,MESH:D000544
ABCA7,10347,Alzheimer Disease 9,MESH:C563834
ABCA7,10347,Disease Progression,MESH:D018450
ABCA8,10351,Autism Spectrum Disorder,MESH:D000067877
ABCA8,10351,Breast Neoplasms,MESH:D001943
ABCA8,10351,Colorectal Neoplasms,MESH:D015179
ABCA8,10351,Recurrence,MESH:D012008
ABCA8,10351,Thyroid Neoplasms,MESH:D013964
ABCA8A,217258,"Liver Cirrhosis, Experimental",MESH:D008106
ABCA9,10350,Colorectal Neoplasms,MESH:D015179
ABCB1,5243,Adrenocortical Carcinoma,MESH:D018268
ABCB1,5243,"Arthritis, Experimental",MESH:D001169
ABCB1,5243,"Arthritis, Rheumatoid",MESH:D001172
ABCB1,5243,Autism Spectrum Disorder,MESH:D000067877
ABCB1,5243,Breast Neoplasms,MESH:D001943
ABCB1,5243,Carcinoma,MESH:D002277
ABCB1,5243,"Carcinoma, Hepatocellular",MESH:D006528
ABCB1,5243,"Carcinoma, Non-Small-Cell Lung",MESH:D002289
ABCB1,5243,Chemical and Drug Induced Liver Injury,MESH:D056486
ABCB1,5243,Colorectal Neoplasms,MESH:D015179
ABCB1,5243,Disease Progression,MESH:D018450
ABCB1,5243,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
ABCB1,5243,Epilepsy,MESH:D004827
ABCB1,5243,Escherichia coli Infections,MESH:D004927
ABCB1,5243,Esophageal Neoplasms,MESH:D004938
ABCB1,5243,Genetic Predisposition to Disease,MESH:D020022
ABCB1,5243,"Heart Defects, Congenital",MESH:D006330
ABCB1,5243,Hematologic Neoplasms,MESH:D019337
ABCB1,5243,"Hypotension, Orthostatic",MESH:D007024
ABCB1,5243,Inflammatory Bowel Disease 13,MESH:C567384
ABCB1,5243,Kidney Neoplasms,MESH:D007680
ABCB1,5243,"Liver Cirrhosis, Experimental",MESH:D008106
ABCB1,5243,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403
ABCB1,5243,Marijuana Abuse,MESH:D002189
ABCB1,5243,Mental Disorders,MESH:D001523
ABCB1,5243,Nausea,MESH:D009325
ABCB1,5243,Neoplasm Metastasis,MESH:D009362
ABCB1,5243,Neoplasms,MESH:D009369
ABCB1,5243,Nervous System Diseases,MESH:D009422
ABCB1,5243,Neuroblastoma,MESH:D009447
ABCB1,5243,Neurotoxicity Syndromes,MESH:D020258
ABCB1,5243,Neutropenia,MESH:D009503
ABCB1,5243,"Pain, Postoperative",MESH:D010149
ABCB1,5243,Parkinson Disease,MESH:D010300
ABCB1,5243,"Parkinson Disease, Secondary",MESH:D010302
ABCB1,5243,Peripheral Nervous System Diseases,MESH:D010523
ABCB1,5243,Poisoning,MESH:D011041
ABCB1,5243,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198
ABCB1,5243,Squamous Cell Carcinoma of Head and Neck,MESH:D000077195
ABCB1,5243,"Translocation, Genetic",MESH:D014178
ABCB1,5243,Vomiting,MESH:D014839
ABCB10,23456,Colorectal Neoplasms,MESH:D015179
ABCB11,8647,Afibrinogenemia,MESH:D000347
ABCB11,8647,Cholestasis,MESH:D002779
ABCB11,8647,"CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2",OMIM:605479
ABCB11,8647,"Cholestasis, Intrahepatic",MESH:D002780
ABCB11,8647,"Cholestasis, progressive familial intrahepatic 1",MESH:C535933
ABCB11,8647,"Cholestasis, progressive familial intrahepatic 2",MESH:C535934
ABCB11,8647,"Cholestasis, progressive familial intrahepatic 3",MESH:C535935
ABCB11,8647,Colorectal Neoplasms,MESH:D015179
ABCB11,8647,Pruritus,MESH:D011537
ABCB1A,18671,Cardiomyopathies,MESH:D009202
ABCB1A,18671,Chemical and Drug Induced Liver Injury,MESH:D056486
ABCB1A,18671,Diarrhea,MESH:D003967
ABCB1A,18671,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
ABCB1A,18671,Heart Diseases,MESH:D006331
ABCB1A,18671,Hyperlipidemias,MESH:D006949
ABCB1A,18671,Kidney Diseases,MESH:D007674
ABCB1A,18671,"Liver Cirrhosis, Experimental",MESH:D008106
ABCB1A,18671,Pain,MESH:D010146
ABCB1A,18671,Reperfusion Injury,MESH:D015427
ABCB1A,18671,Seizures,MESH:D012640
ABCB1A,18671,Status Epilepticus,MESH:D013226
ABCB1B,18669,Adenocarcinoma of Lung,MESH:D000077192
ABCB1B,18669,Breast Neoplasms,MESH:D001943
ABCB1B,18669,Chemical and Drug Induced Liver Injury,MESH:D056486
ABCB1B,18669,"Disease Models, Animal",MESH:D004195
ABCB1B,18669,Endotoxemia,MESH:D019446
ABCB1B,18669,Liver Neoplasms,MESH:D008113
ABCB1B,18669,"Mammary Neoplasms, Experimental",MESH:D008325
ABCB1B,18669,Status Epilepticus,MESH:D013226
ABCB4,5244,"Carcinoma, Hepatocellular",MESH:D006528
ABCB4,5244,Cholangitis,MESH:D002761
ABCB4,5244,"Cholangitis, Sclerosing",MESH:D015209
ABCB4,5244,"Cholestasis, progressive familial intrahepatic 1",MESH:C535933
ABCB4,5244,"Cholestasis, progressive familial intrahepatic 3",MESH:C535935
ABCB4,5244,Chronic Disease,MESH:D002908
ABCB4,5244,Colorectal Neoplasms,MESH:D015179
ABCB4,5244,"Disease Models, Animal",MESH:D004195
ABCB4,5244,Disease Progression,MESH:D018450
ABCB4,5244,End Stage Liver Disease,MESH:D058625
ABCB4,5244,GALLBLADDER DISEASE 1,OMIM:600803
ABCB4,5244,Inflammation,MESH:D007249
ABCB4,5244,Intrahepatic Cholestasis of Pregnancy,MESH:C535932
ABCB4,5244,"Jaundice, Obstructive",MESH:D041781
ABCB4,5244,Liver Cirrhosis,MESH:D008103
ABCB4,5244,"Liver Cirrhosis, Biliary",MESH:D008105
ABCB4,5244,Liver Diseases,MESH:D008107
ABCB4,5244,Non-alcoholic Fatty Liver Disease,MESH:D065626
ABCB5,340273,Colorectal Neoplasms,MESH:D015179
ABCB5,340273,Melanoma,MESH:D008545
ABCB6,10058,Colorectal Neoplasms,MESH:D015179
ABCB6,10058,DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3,OMIM:615402
ABCB6,10058,MICROPHTHALMIA/COLOBOMA 7,OMIM:614497
ABCB6,10058,Polycystic Ovary Syndrome,MESH:D011085
ABCB6,10058,"Pseudohyperkalemia, Familial, 2, due to Red Cell Leak",MESH:C563785
ABCB6,10058,Recurrence,MESH:D012008
ABCB6,10058,Retinitis pigmentosa 1,MESH:C538365
ABCB6,10058,Thyroid Neoplasms,MESH:D013964
ABCB7,22,"Anemia, Sideroblastic",MESH:D000756
ABCB7,22,"Anemia, sideroblastic spinocerebellar ataxia",MESH:C536358
ABCB7,22,Ataxia,MESH:D001259
ABCB8,11194,Recurrence,MESH:D012008
ABCB8,11194,Thyroid Neoplasms,MESH:D013964
ABCC1,4363,Breast Neoplasms,MESH:D001943
ABCC1,4363,Chemical and Drug Induced Liver Injury,MESH:D056486
ABCC1,4363,Colorectal Neoplasms,MESH:D015179
ABCC1,4363,Disease Progression,MESH:D018450
ABCC1,4363,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
ABCC1,4363,Heart Diseases,MESH:D006331
ABCC1,4363,Hypertension,MESH:D006973
ABCC1,4363,Peripheral Nervous System Diseases,MESH:D010523
ABCC1,4363,Squamous Cell Carcinoma of Head and Neck,MESH:D000077195
ABCC10,89845,Recurrence,MESH:D012008
ABCC10,89845,Thyroid Neoplasms,MESH:D013964
ABCC11,85320,Disease Progression,MESH:D018450
ABCC12,94160,Bone Marrow Diseases,MESH:D001855
ABCC12,94160,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
ABCC13,150000,Colorectal Neoplasms,MESH:D015179
ABCC2,1244,Alopecia,MESH:D000505
ABCC2,1244,"Arthritis, Rheumatoid",MESH:D001172
ABCC2,1244,Cardiomyopathies,MESH:D009202
ABCC2,1244,Chemical and Drug Induced Liver Injury,MESH:D056486
ABCC2,1244,Cholestasis,MESH:D002779
ABCC2,1244,Colorectal Neoplasms,MESH:D015179
ABCC2,1244,Diarrhea,MESH:D003967
ABCC2,1244,Drug Hypersensitivity,MESH:D004342
ABCC2,1244,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
ABCC2,1244,Esophageal Squamous Cell Carcinoma,MESH:D000077277
ABCC2,1244,Gastrointestinal Diseases,MESH:D005767
ABCC2,1244,Heart Diseases,MESH:D006331
ABCC2,1244,Hyperbilirubinemia,MESH:D006932
ABCC2,1244,"Jaundice, Chronic Idiopathic",MESH:D007566
ABCC2,1244,"Liver Cirrhosis, Biliary",MESH:D008105
ABCC2,1244,"Liver Cirrhosis, Experimental",MESH:D008106
ABCC2,1244,Nervous System Diseases,MESH:D009422
ABCC2,1244,Non-alcoholic Fatty Liver Disease,MESH:D065626
ABCC2,1244,Seizures,MESH:D012640
ABCC2,1244,Squamous Cell Carcinoma of Head and Neck,MESH:D000077195
ABCC2,1244,Status Epilepticus,MESH:D013226
ABCC3,8714,"Arthritis, Rheumatoid",MESH:D001172
ABCC3,8714,Autism Spectrum Disorder,MESH:D000067877
ABCC3,8714,Cholestasis,MESH:D002779
ABCC3,8714,Colorectal Neoplasms,MESH:D015179
ABCC3,8714,Hepatomegaly,MESH:D006529
ABCC4,10257,"Arthritis, Rheumatoid",MESH:D001172
ABCC4,10257,Cognition Disorders,MESH:D003072
ABCC4,10257,Colorectal Neoplasms,MESH:D015179
ABCC4,10257,Diabetes Complications,MESH:D048909
ABCC4,10257,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
ABCC4,10257,Endometriosis,MESH:D004715
ABCC4,10257,Neoplasm Metastasis,MESH:D009362
ABCC4,10257,Prostatic Neoplasms,MESH:D011471
ABCC4,10257,Substance-Related Disorders,MESH:D019966
ABCC5,10057,"Arthritis, Rheumatoid",MESH:D001172
ABCC5,10057,Colorectal Neoplasms,MESH:D015179
ABCC5,10057,"Liver Cirrhosis, Experimental",MESH:D008106
ABCC6,368,Arterial calcification of infancy,MESH:C537440
ABCC6,368,Colorectal Neoplasms,MESH:D015179
ABCC6,368,"Disease Models, Animal",MESH:D004195
ABCC6,368,Disease Progression,MESH:D018450
ABCC6,368,Pseudoxanthoma Elasticum,MESH:D011561
ABCC6,368,Retinitis pigmentosa 1,MESH:C538365
ABCC6A,566555,Arterial calcification of infancy,MESH:C537440
ABCC6A,566555,"Disease Models, Animal",MESH:D004195
ABCC6A,566555,Pseudoxanthoma Elasticum,MESH:D011561
ABCC8,6833,Colorectal Neoplasms,MESH:D015179
ABCC8,6833,Congenital Hyperinsulinism,MESH:D044903
ABCC8,6833,"Diabetes Mellitus, Transient Neonatal, 2",MESH:C563672
ABCC8,6833,"Diabetes Mellitus, Type 1",MESH:D003922
ABCC8,6833,"Diabetes Mellitus, Type 2",MESH:D003924
ABCC8,6833,"Hypoglycemia, leucine-induced",MESH:C537150
ABCC9,10060,"ATRIAL FIBRILLATION, FAMILIAL, 12",OMIM:614050
ABCC9,10060,Cantu syndrome,MESH:C535572
ABCC9,10060,"Cardiomyopathy, Dilated, 1o",MESH:C563906
ABCC9,10060,Desbuquois syndrome,MESH:C535943
ABCC9,10060,Endometrial Neoplasms,MESH:D016889
ABCC9,10060,Endometriosis,MESH:D004715
ABCD1,215,Adrenoleukodystrophy,MESH:D000326
ABCD2,225,Colorectal Neoplasms,MESH:D015179
ABCD3,5825,"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5",OMIM:616278
ABCD3,5825,Colorectal Neoplasms,MESH:D015179
ABCD3,5825,Zellweger Syndrome,MESH:D015211
ABCD4,5826,Colorectal Neoplasms,MESH:D015179
ABCD4,5826,Disease Progression,MESH:D018450
ABCD4,5826,"Metabolism, Inborn Errors",MESH:D008661
ABCD4,5826,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE",OMIM:614857
ABCD4,5826,Vitamin B 12 Deficiency,MESH:D014806
ABCE1,6059,Colorectal Neoplasms,MESH:D015179
ABCF1,23,Disease Progression,MESH:D018450
ABCF1,23,Hypersensitivity,MESH:D006967
ABCF1,23,Pneumonia,MESH:D011014
ABCF2,10061,Disease Progression,MESH:D018450
ABCG1,9619,Colorectal Neoplasms,MESH:D015179
ABCG1,9619,"Kidney Failure, Chronic",MESH:D007676
ABCG1,9619,"Liver Cirrhosis, Experimental",MESH:D008106
ABCG1,9619,Weight Gain,MESH:D015430
ABCG2,9429,Adenoma,MESH:D000236
ABCG2,9429,"Arthritis, Rheumatoid",MESH:D001172
ABCG2,9429,Autism Spectrum Disorder,MESH:D000067877
ABCG2,9429,Breast Neoplasms,MESH:D001943
ABCG2,9429,Cardiomyopathies,MESH:D009202
ABCG2,9429,Colorectal Neoplasms,MESH:D015179
ABCG2,9429,Diarrhea,MESH:D003967
ABCG2,9429,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
ABCG2,9429,Gout,MESH:D006073
ABCG2,9429,Heart Failure,MESH:D006333
ABCG2,9429,Hyperuricemia,MESH:D033461
ABCG2,9429,"Liver Cirrhosis, Biliary",MESH:D008105
ABCG2,9429,"Lymphoma, Large B-Cell, Diffuse",MESH:D016403
ABCG2,9429,"Mammary Neoplasms, Experimental",MESH:D008325
ABCG2,9429,Nervous System Diseases,MESH:D009422
ABCG2,9429,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054218
ABCG2,9429,Squamous Cell Carcinoma of Head and Neck,MESH:D000077195
ABCG2,9429,"URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1",OMIM:138900
ABCG5,64240,Atherosclerosis,MESH:D050197
ABCG5,64240,Coronary Artery Disease,MESH:D003324
ABCG5,64240,Coronary Disease,MESH:D003327
ABCG5,64240,Dyslipidemias,MESH:D050171
ABCG5,64240,"Lipid Metabolism, Inborn Errors",MESH:D008052
ABCG5,64240,"Liver Cirrhosis, Experimental",MESH:D008106
ABCG5,64240,Prostatic Neoplasms,MESH:D011471
ABCG5,64240,Sitosterolemia,MESH:C537345
ABCG5,64240,Xanthomatosis,MESH:D014973
ABCG8,64241,Coronary Artery Disease,MESH:D003324
ABCG8,64241,Gallbladder Disease 4,MESH:C566936
ABCG8,64241,Gallstones,MESH:D042882
ABCG8,64241,"Liver Cirrhosis, Experimental",MESH:D008106
ABCG8,64241,Sitosterolemia,MESH:C537345
ABHD12,26090,"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract",MESH:C567203
ABHD12,26090,Retinitis pigmentosa 1,MESH:C538365
ABHD5,51099,Chanarin-Dorfman Syndrome,MESH:C536560
ABI1,10006,Chemical and Drug Induced Liver Injury,MESH:D056486
ABI3,51225,Alzheimer Disease,MESH:D000544
ABI3BP,25890,"Carcinoma, Basal Cell",MESH:D002280
ABI3BP,25890,Endometriosis,MESH:D004715
ABL1,25,Adenocarcinoma,MESH:D000230
ABL1,25,"Bone Diseases, Developmental",MESH:D001848
ABL1,25,Breast Neoplasms,MESH:D001943
ABL1,25,Carcinogenesis,MESH:D063646
ABL1,25,Congenital contractural arachnodactyly,MESH:C536211
ABL1,25,Esophageal Neoplasms,MESH:D004938
ABL1,25,Failure to Thrive,MESH:D005183
ABL1,25,"Heart Defects, Congenital",MESH:D006330
ABL1,25,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",MESH:D015464
ABL1,25,Liver Neoplasms,MESH:D008113
ABL1,25,Musculoskeletal Abnormalities,MESH:D009139
ABL1,25,"Neoplasms, Experimental",MESH:D009374
ABL1,25,Precancerous Conditions,MESH:D011230
ABL1,25,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198
ABL1,25,Tetralogy of Fallot,MESH:D013771
ABLIM1,3983,Substance-Related Disorders,MESH:D019966
ABLIM3,22885,"Liver Cirrhosis, Experimental",MESH:D008106
ABO,28,"Carcinoma, Ovarian Epithelial",MESH:D000077216
ABO,28,Coronary Artery Disease,MESH:D003324
ABO,28,COVID-19,MESH:D000086382
ABO,28,Critical Illness,MESH:D016638
ABO,28,Diverticular Diseases,MESH:D000076385
ABO,28,Duodenal Ulcer,MESH:D004381
ABO,28,Pancreatic Neoplasms,MESH:D010190
ABO,28,Prostatic Neoplasms,MESH:D011471
ABO,28,Respiratory Insufficiency,MESH:D012131
ABO,28,Stroke,MESH:D020521
ABR,29,Prostatic Neoplasms,MESH:D011471
ABRA,137735,"Cardiomyopathy, Dilated",MESH:D002311
ABT1,29777,Disease Progression,MESH:D018450
ABT1,29777,Stomach Neoplasms,MESH:D013274
ABTB3,121551,Liver Neoplasms,MESH:D008113
ACAA1B,235674,Heart Failure,MESH:D006333
ACAA2,10449,"Carcinoma, Basal Cell",MESH:D002280
ACAA2,10449,Osteoarthritis,MESH:D010003
ACAA2,10449,Respiratory Distress Syndrome,MESH:D012128
ACACA,31,Acetyl-Coa Carboxylase Deficiency,MESH:C562678
ACACA,31,"Carcinoma, Hepatocellular",MESH:D006528
ACACA,31,Heart Failure,MESH:D006333
ACACB,32,Breast Neoplasms,MESH:D001943
ACACB,32,Insulin Resistance,MESH:D007333
ACACB,32,Obesity,MESH:D009765
ACAD8,27034,Disease Progression,MESH:D018450
ACAD8,27034,Isobutyryl-CoA dehydrogenase deficiency,MESH:C535541
ACAD8,27034,Stomach Neoplasms,MESH:D013274
ACAD9,28976,"Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of",MESH:C567006
ACADL,33,"Carcinoma, Basal Cell",MESH:D002280
ACADM,34,"Enterocolitis, Necrotizing",MESH:D020345
ACADM,34,Liver Failure,MESH:D017093
ACADM,34,Medium chain acyl CoA dehydrogenase deficiency,MESH:C536038
ACADM,34,Obesity,MESH:D009765
ACADM,34,Weight Gain,MESH:D015430
ACADS,35,Heart Failure,MESH:D006333
ACADS,35,Short chain Acyl CoA dehydrogenase deficiency,MESH:C537596
ACADSB,36,2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487
ACADSB,36,Autistic Disorder,MESH:D001321
ACADVL,37,Hypoxia,MESH:D000860
ACADVL,37,VLCAD deficiency,MESH:C536353
ACAN,176,"Arthritis, Rheumatoid",MESH:D001172
ACAN,176,Desbuquois syndrome,MESH:C535943
ACAN,176,"Muscular Dystrophy, Facioscapulohumeral",MESH:D020391
ACAN,176,Pneumoconiosis,MESH:D011009
ACAN,176,SHORT STATURE AND ADVANCED BONE AGE WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS,OMIM:165800
ACAN,176,"Spondyloepimetaphyseal Dysplasia, Aggrecan Type",MESH:C567558
ACAN,176,"Spondyloepiphyseal Dysplasia, Kimberley Type",MESH:C564252
ACAT1,38,Beta ketothiolase deficiency,MESH:C535434
ACAT1,38,"Kidney Failure, Chronic",MESH:D007676
ACAT1,38,"Liver Cirrhosis, Experimental",MESH:D008106
ACAT1,38,Seizures,MESH:D012640
ACAT2,39,Cytosolic acetoacetyl-CoA thiolase deficiency,MESH:C536005
ACBD4,79777,"Liver Cirrhosis, Experimental",MESH:D008106
ACBD5,91452,Retinitis pigmentosa 1,MESH:C538365
ACBD6,84320,Intellectual Disability,MESH:D008607
ACD,65057,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6",OMIM:616553
ACE,1636,Adenocarcinoma,MESH:D000230
ACE,1636,Albuminuria,MESH:D000419
ACE,1636,Allanson Pantzar McLeod syndrome,MESH:C537048
ACE,1636,Alzheimer Disease,MESH:D000544
ACE,1636,"Arrhythmias, Cardiac",MESH:D001145
ACE,1636,Atrial Fibrillation,MESH:D001281
ACE,1636,Autistic Disorder,MESH:D001321
ACE,1636,Berylliosis,MESH:D001607
ACE,1636,Brain Ischemia,MESH:D002545
ACE,1636,"Carcinoma, Hepatocellular",MESH:D006528
ACE,1636,Cardiovascular Diseases,MESH:D002318
ACE,1636,Celiac Disease,MESH:D002446
ACE,1636,Cerebral Hemorrhage,MESH:D002543
ACE,1636,Coronary Artery Disease,MESH:D003324
ACE,1636,Coronary Disease,MESH:D003327
ACE,1636,Coronary Restenosis,MESH:D023903
ACE,1636,Cough,MESH:D003371
ACE,1636,"Death, Sudden",MESH:D003645
ACE,1636,"Diabetes Mellitus, Experimental",MESH:D003921
ACE,1636,Diabetic Nephropathies,MESH:D003928
ACE,1636,Drug Hypersensitivity,MESH:D004342
ACE,1636,Gaucher Disease,MESH:D005776
ACE,1636,Genetic Predisposition to Disease,MESH:D020022
ACE,1636,"Glomerulonephritis, IGA",MESH:D005922
ACE,1636,Glycogen Storage Disease Type V,MESH:D006012
ACE,1636,Heart Failure,MESH:D006333
ACE,1636,Hypertension,MESH:D006973
ACE,1636,"Hypertension, Pulmonary",MESH:D006976
ACE,1636,"Hypertrophy, Left Ventricular",MESH:D017379
ACE,1636,Hypotension,MESH:D007022
ACE,1636,"Infant, Premature, Diseases",MESH:D007235
ACE,1636,"Infertility, Male",MESH:D007248
ACE,1636,Kidney Diseases,MESH:D007674
ACE,1636,"Kidney Failure, Chronic",MESH:D007676
ACE,1636,Lung Diseases,MESH:D008171
ACE,1636,Lung Injury,MESH:D055370
ACE,1636,Lung Neoplasms,MESH:D008175
ACE,1636,Meningococcal Infections,MESH:D008589
ACE,1636,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3",OMIM:612624
ACE,1636,Myocardial Infarction,MESH:D009203
ACE,1636,Neoplasm Metastasis,MESH:D009362
ACE,1636,Non-alcoholic Fatty Liver Disease,MESH:D065626
ACE,1636,"Pneumonia, Viral",MESH:D011024
ACE,1636,Pre-Eclampsia,MESH:D011225
ACE,1636,Prostatic Neoplasms,MESH:D011471
ACE,1636,"Psychoses, Substance-Induced",MESH:D011605
ACE,1636,Pulmonary Fibrosis,MESH:D011658
ACE,1636,Renal Insufficiency,MESH:D051437
ACE,1636,RENAL TUBULAR DYSGENESIS,OMIM:267430
ACE,1636,Respiratory Distress Syndrome,MESH:D012128
ACE,1636,Respiratory Tract Diseases,MESH:D012140
ACE,1636,Severe Acute Respiratory Syndrome,MESH:D045169
